#
# The Tor Project
#
# URL: https://metrics.torproject.org/versions.csv?start=2019-02-18&end=2019-05-19
#
date,version,relays
2019-03-25,0.2.9,1082
2019-03-25,0.3.0,60
2019-03-25,0.3.1,76
2019-03-25,0.3.2,242
2019-03-25,0.3.3,311
2019-03-25,0.3.4,1135
2019-03-25,0.3.5,3004
2019-03-25,0.4.0,182
2019-03-25,0.4.1,17
2019-03-25,Other,1
2019-03-26,0.2.4,128
2019-03-26,0.2.5,142
2019-03-26,0.2.6,19
2019-03-26,0.2.7,78
2019-03-26,0.2.8,21
2019-03-26,0.2.9,1074
2019-03-26,0.3.0,60
2019-03-26,0.3.1,75
2019-03-26,0.3.2,242
2019-03-26,0.3.3,309
2019-03-26,0.3.4,1143
2019-03-26,0.3.5,3018
2019-03-26,0.4.0,181
2019-03-26,0.4.1,17
2019-03-26,Other,1
2019-03-27,0.2.4,127
2019-03-27,0.2.5,141
2019-03-27,0.2.6,23
2019-03-27,0.2.7,77
2019-03-27,0.2.8,21
2019-03-27,0.2.9,1072
2019-03-27,0.3.0,60
2019-03-27,0.3.1,74
2019-03-27,0.3.2,238
2019-03-27,0.3.3,303
2019-03-27,0.3.4,1126
2019-03-27,0.3.5,3030
2019-03-27,0.4.0,181
2019-03-27,0.4.1,17
2019-03-27,Other,1
2019-03-28,0.2.4,128
2019-03-28,0.2.5,142
2019-03-28,0.2.6,22
2019-03-28,0.2.7,77
2019-03-28,0.2.8,20
2019-03-28,0.2.9,1071
2019-03-28,0.3.0,58
2019-03-28,0.3.1,72
2019-03-28,0.3.2,234
2019-03-28,0.3.3,300
2019-03-28,0.3.4,1098
2019-03-28,0.3.5,3038
2019-03-28,0.4.0,185
2019-03-28,0.4.1,18
2019-03-28,Other,1
2019-03-29,0.2.4,129
2019-03-29,0.2.5,144
2019-03-29,0.2.6,22
2019-03-29,0.2.7,76
2019-03-29,0.2.8,21
2019-03-29,0.2.9,1075
2019-03-29,0.3.0,58
2019-03-29,0.3.1,71
2019-03-29,0.3.2,237
2019-03-29,0.3.3,292
2019-03-29,0.3.4,1080
2019-03-29,0.3.5,3045
2019-03-29,0.4.0,184
2019-03-29,0.4.1,19
2019-03-29,Other,1
2019-03-30,0.2.4,131
2019-03-30,0.2.5,145
2019-03-30,0.2.6,22
2019-03-30,0.2.7,76
2019-03-30,0.2.8,22
2019-03-30,0.2.9,1072
2019-03-30,0.3.0,58
2019-03-30,0.3.1,71
2019-03-30,0.3.2,238
2019-03-30,0.3.3,289
2019-03-30,0.3.4,1098
2019-03-30,0.3.5,3063
2019-03-30,0.4.0,185
2019-03-30,0.4.1,20
2019-03-30,Other,1
2019-03-31,0.2.4,131
